amount,elapsed_sec,pc1,pc2,pc3,is_fraud
69.20,85549,0.3299,-0.2484,0.4233,0
80.32,69723,0.6485,-0.0093,-1.0981,0
36.38,1826,-0.0502,-0.0757,-0.8436,0
31.06,72242,0.0429,0.6325,-1.3599,0
49.06,3010,-0.725,0.6772,-0.3186,0
104.40,85970,-0.4023,-0.9813,0.1291,0
168.25,64948,0.7668,0.1384,0.4234,0
5.39,56802,-0.7724,0.1112,-0.2125,0
9.94,74515,-0.2879,0.6445,0.8662,0
67.91,6638,-0.5296,-0.3386,1.0767,0
525.64,5020,-2.6758,2.2993,-5.059,1
27.55,18839,-0.4358,-0.444,0.4792,0
61.43,11800,-2.2307,2.8896,-3.4972,1
36.77,73683,0.3586,0.774,0.0509,0
235.15,63323,0.5062,-0.0872,-0.4037,0
11.61,64227,0.2394,-0.3517,0.4617,0
53.93,24934,-0.1951,-0.1965,-0.1985,0
25.96,58823,-0.0584,0.2617,0.4291,0
11.62,47956,-0.6509,0.3265,-1.0892,0
29.60,13798,-1.2778,-0.1912,-0.4072,0
33.29,45244,0.2503,0.6034,0.6759,0
12.71,21556,-0.2356,0.345,0.6191,0
61.87,17134,0.8604,0.8552,0.3699,0
16.77,45621,0.2667,-0.6645,1.219,0
13.54,58004,0.2319,0.7836,-0.7804,0
22.23,7044,-0.1122,-0.1712,0.502,0
438.73,5031,-2.9027,2.4556,-3.937,1
18.79,70516,-0.1915,0.4637,-0.2278,0
78.91,61724,0.0266,0.2682,0.5956,0
123.38,69217,0.3149,-0.7098,-0.2913,0
30.52,30760,-0.8127,0.2665,0.3965,0
58.76,4919,0.3162,-0.0176,0.8667,0
21.33,40229,-0.7565,0.2755,-0.219,0
87.44,80881,-0.3483,-0.7129,-0.2995,0
24.16,29750,0.1466,-0.8182,-0.6268,0
12.21,52016,-0.0815,-0.0831,0.216,0
15.63,82173,-0.1977,0.6242,0.1337,0
30.47,24510,0.3443,-0.246,0.505,0
65.58,37986,0.8061,0.1596,-0.417,0
59.85,71151,-0.6402,-0.2356,-0.0258,0
450.96,33653,-2.015,2.8796,-2.8389,1
85.57,19969,0.5451,-0.6565,0.0798,0
25.96,16376,0.8241,-0.047,0.1784,0
53.30,46154,-0.7482,-0.3987,0.367,0
28.03,14540,-1.0246,1.139,-1.2607,0
29.83,60351,0.0363,-0.8918,-0.0489,0
20.58,24690,-0.2427,-0.1347,0.3164,0
21.46,51963,-0.3206,0.4208,0.3683,0
24.15,83729,0.2548,0.2929,0.2489,0
87.17,13808,-2.9055,2.0831,-3.8281,1
37.70,33839,0.1996,0.2105,-0.2319,0
24.90,58875,1.013,0.5783,0.3331,0
44.31,65607,0.3675,-0.1638,0.3629,0
148.17,21812,-3.3885,2.4524,-3.8194,1
68.76,24656,-0.6753,-0.612,0.9522,0
104.80,38817,-0.3888,-0.4909,-0.6989,0
34.60,54571,0.0538,-0.727,0.2264,0
9.14,63017,-0.1833,0.5901,0.3534,0
28.94,68,-0.0935,0.4927,0.7056,0
24.73,45215,0.5577,0.3724,-0.5036,0
20.08,29112,0.2549,0.5773,-0.4515,0
64.81,59408,0.1967,-0.666,0.2444,0
72.75,19460,0.4505,0.7749,0.4657,0
122.36,56321,-0.1628,0.1597,-0.0738,0
6.61,80612,-0.372,-0.9674,1.1278,0
46.39,17013,-0.3308,-0.4071,-0.6219,0
104.94,20326,-0.3744,-0.1744,0.387,0
56.48,8537,-0.2078,0.3601,0.2103,0
66.89,20926,0.1306,0.2029,-0.0588,0
16.88,26732,0.3995,-1.2184,0.1516,0
28.37,41000,0.0584,0.0705,-0.1725,0
45.16,25577,-0.0173,0.6045,-1.0631,0
29.72,23353,0.5673,-0.4636,0.118,0
62.17,35922,-3.9521,1.9883,-4.3969,1
38.66,17446,-0.9084,-0.2093,0.0684,0
134.56,4593,-2.1992,2.6473,-3.981,1
69.73,69733,-2.8673,2.9331,-4.2359,1
127.13,29230,0.3644,0.017,-0.4563,0
42.33,18622,-0.0489,0.0357,-0.18,0
79.14,40937,0.2656,-0.1758,-0.6773,0
341.15,430,-2.8554,1.9055,-3.7346,1
455.44,75669,-3.1753,3.2716,-3.9774,1
45.23,76622,0.0445,-0.382,0.2686,0
99.12,86091,-3.1767,2.7615,-4.1334,1
17.47,56660,-0.5089,-0.7101,-0.837,0
217.53,48371,-2.5796,2.1378,-3.1699,1
39.41,25105,-0.4028,-0.7811,0.6898,0
34.66,75680,0.3815,-0.1209,0.2076,0
106.60,12391,-2.7937,1.9536,-3.6114,1
42.72,41967,0.8103,0.7733,-0.0372,0
22.48,71016,-0.1604,-0.4084,-1.1358,0
51.65,37628,0.4745,-0.9452,0.2001,0
22.31,57762,-0.6085,-0.6263,0.047,0
51.06,72006,-0.631,0.2119,0.03,0
139.18,32761,-0.2377,0.522,-0.122,0
45.40,55281,-0.3132,0.6019,0.5072,0
42.51,13138,-0.8258,-0.3441,-0.3055,0
9.70,79823,-0.1805,-1.0789,0.555,0
200.40,63137,0.3191,-0.3897,-0.0249,0
276.54,85095,-3.53,2.8368,-4.5326,1
25.48,56743,0.0621,0.3431,-0.0279,0
25.20,71892,0.0167,-0.2071,0.5247,0
30.01,61462,-0.5007,-0.1122,-0.7741,0
654.30,59591,-1.9841,1.3531,-4.2715,1
44.41,82000,-0.1945,0.1938,-0.0352,0
74.85,24162,-0.2267,0.2359,-0.5865,0
63.39,71905,0.2665,-0.2345,1.0372,0
28.97,82315,0.2846,-0.045,1.2905,0
7.88,57904,0.0638,0.0114,-0.6091,0
60.23,45562,-0.0751,-0.4687,0.6316,0
407.93,48914,-1.0529,0.7987,0.0058,0
37.43,47233,0.4065,0.2653,-0.3597,0
29.61,78288,0.3115,0.9472,0.942,0
137.88,37002,-0.5062,0.5938,0.3153,0
70.19,62193,0.2053,0.1713,-0.536,0
152.12,43317,-2.5932,2.2505,-4.911,1
216.90,43216,-3.6393,0.9634,-4.8954,1
38.98,70700,-0.401,0.3186,-0.2849,0
33.67,81927,0.2151,0.1229,-1.1468,0
568.77,56825,-1.8841,1.9951,-4.7863,1
145.01,85552,0.6565,0.753,0.5638,0
231.47,34298,-3.1516,2.5455,-4.8897,1
47.03,83122,-0.5513,0.351,0.049,0
77.99,19993,0.2194,-0.1649,0.0788,0
52.41,41806,-2.6288,2.8207,-3.4528,1
229.14,17488,-2.1946,1.7247,-3.8069,1
18.71,34798,-0.4023,0.3965,0.1722,0
48.99,7234,0.4079,0.7016,-0.2258,0
34.51,4065,1.2547,-0.3367,-0.3132,0
69.35,59439,0.1582,-0.657,0.2566,0
77.48,82727,-3.4982,1.9677,-3.6754,1
55.31,55625,-0.5155,-0.6971,0.2129,0
24.28,33092,0.1438,-0.2829,-0.7543,0
52.37,36961,0.1699,-0.0906,-0.1945,0
299.75,30568,-2.7605,2.5221,-4.1141,1
242.02,20963,-2.886,1.9884,-4.491,1
243.46,26879,-2.256,2.8434,-4.5766,1
12.03,29530,0.2368,-0.349,1.124,0
113.71,9172,-2.2191,2.6784,-3.7916,1
14.76,7762,0.6711,0.3132,-0.0143,0
194.09,34989,-2.6671,1.8533,-4.7772,1
202.93,26490,-3.4602,2.44,-4.7579,1
334.81,20887,-2.4357,2.8151,-2.8202,1
397.32,74362,-2.6147,1.7135,-4.2282,1
125.01,80075,-2.8035,1.7699,-3.8888,1
21.71,80017,0.2967,0.1401,0.5156,0
