amount,elapsed_sec,pc1,pc2,pc3,is_fraud
62.17,71894,-2.6808,2.1244,-3.8769,1
457.22,81697,-3.008,2.3255,-4.5835,1
227.17,6488,-3.4784,2.9042,-3.3491,1
34.21,51151,-0.0757,-0.2802,1.2344,0
33.02,65509,0.6374,0.0805,-0.4793,0
27.31,67912,-0.0502,0.0026,0.002,0
78.53,1056,-2.2054,1.7826,-4.7748,1
43.11,39139,-3.0099,1.651,-4.7459,1
175.49,80966,-2.9855,1.1321,-4.253,1
33.47,24639,-0.5158,0.1007,-0.7393,0
257.17,49377,-0.3304,0.4012,-0.0451,0
101.92,9435,-3.51,1.9148,-4.6067,1
55.97,74017,-0.5753,-0.2759,-0.8843,0
22.95,81436,-0.1324,0.1808,0.4586,0
337.73,77027,-2.8739,0.5976,-4.1597,1
758.88,9154,-4.0968,1.4057,-4.427,1
66.11,23158,-2.37,2.1756,-4.2378,1
111.84,11429,-3.1144,3.4808,-5.0514,1
27.93,75558,0.2659,-0.0249,-0.2714,0
146.55,48558,-1.6142,2.0771,-3.9807,1
913.90,70931,-3.3734,2.2745,-3.0068,1
47.88,12614,-0.4401,0.2233,-0.2801,0
232.32,62208,-2.0013,2.7419,-4.7228,1
15.87,75493,-0.042,-0.2161,0.2978,0
85.06,7109,-0.1217,-0.3283,0.0581,0
29.34,13579,0.4639,-0.3162,-0.728,0
20.39,22491,0.0408,-0.5181,-0.1043,0
228.44,33377,-3.0146,2.611,-4.4564,1
83.43,69406,0.4505,-0.2609,-0.4226,0
39.86,72167,-0.143,0.1472,-0.2197,0
454.03,19747,-3.2097,1.5091,-3.9767,1
135.03,24619,-2.8399,1.7459,-3.6208,1
52.94,291,0.3555,0.1379,-0.1523,0
44.55,74329,-0.1405,0.0827,-0.0937,0
629.90,20752,-3.1515,1.7014,-5.1505,1
14.80,43101,0.0745,0.0523,0.1268,0
42.26,28000,0.4467,-0.4363,0.3563,0
11.01,18527,-0.0241,0.0017,-0.1664,0
95.85,48707,0.3687,0.3338,0.5783,0
35.68,86286,0.3921,0.0756,0.7179,0
26.88,39120,-0.1658,0.0,-0.015,0
21.43,46619,-0.1645,-0.2065,0.303,0
225.15,38046,-3.6054,1.4201,-2.5409,1
128.61,31240,-2.6406,1.533,-5.2369,1
39.34,3224,0.4339,0.4219,-0.0373,0
324.85,17842,-2.314,1.2836,-5.5299,1
147.10,32735,-2.49,2.3416,-3.9104,1
217.11,44326,-3.4443,1.3214,-3.1409,1
39.64,50075,-0.1959,0.3828,-0.4022,0
12.90,56512,0.199,0.5542,0.0615,0
254.38,12447,0.3875,0.3517,0.2496,0
167.60,36814,-3.5654,1.9958,-3.6417,1
31.90,18419,0.6164,-0.402,-0.058,0
131.61,18053,0.3014,-0.2161,-0.1024,0
489.91,7059,-2.8474,2.2623,-3.8937,1
175.15,67001,-1.9933,1.5692,-5.035,1
62.03,80809,-0.4791,0.1402,0.3123,0
142.58,24744,-2.5956,1.7784,-3.5442,1
451.54,27900,-3.4012,1.3773,-3.5566,1
224.17,50394,-2.33,1.9537,-4.0728,1
14.83,53876,0.41,-0.1295,0.2685,0
165.33,66352,-3.177,1.7666,-3.9422,1
177.19,23146,-2.3196,2.2337,-4.8967,1
34.86,82329,-0.4095,0.5196,-0.4605,0
87.92,54187,-0.932,-0.6802,-0.9668,0
38.37,38499,-1.0817,0.0255,0.0468,0
352.71,32348,-3.17,2.1034,-2.5262,1
259.62,81456,-3.0384,1.9431,-4.4441,1
25.04,16974,0.7392,-0.3928,-0.7352,0
88.97,59416,-2.8377,2.4636,-3.7099,1
60.79,17337,-0.4206,-0.3674,-0.5516,0
145.98,77700,-0.2838,1.0779,0.3852,0
16.56,50571,-0.5807,0.3602,0.2208,0
17.71,55222,-0.0442,0.2955,0.5723,0
75.17,77142,-0.3698,-0.5093,0.4952,0
73.37,41711,-0.5169,-0.4291,0.0875,0
59.51,55387,-0.0802,0.0233,0.3673,0
35.74,38764,0.4191,-0.27,0.2852,0
33.83,66728,-0.2521,0.1984,-0.6681,0
131.98,51764,0.3914,0.2261,0.4418,0
282.98,13206,-2.7215,1.8681,-4.438,1
31.46,4660,-2.8189,2.1335,-4.8393,1
110.33,62282,-0.164,-0.3943,-0.3576,0
193.46,41225,-2.8461,1.2163,-3.9752,1
124.74,66234,-3.3051,1.9001,-4.4645,1
63.37,21940,0.6564,-0.293,-0.1066,0
203.47,19538,-2.7393,2.5518,-3.8864,1
35.43,56436,-0.5949,0.858,0.0986,0
107.36,8563,-3.1935,2.0584,-3.9251,1
446.36,10472,-2.3795,1.2694,-4.0906,1
24.41,52569,-0.0728,0.1325,-0.1109,0
75.63,25733,0.0326,0.3551,0.2436,0
560.47,69615,-3.093,1.8833,-4.6462,1
71.25,28330,-0.5428,-0.5179,0.3889,0
305.69,82551,-2.6574,1.7914,-4.3269,1
81.92,37379,-2.9258,1.741,-3.5772,1
84.13,30049,-0.409,0.5555,0.4897,0
84.98,22754,-3.3735,2.9029,-4.5753,1
147.64,59313,-2.9142,2.7683,-4.4247,1
82.69,39428,-3.2233,2.6269,-3.818,1
29.52,83887,-0.8911,0.7337,0.0559,0
201.77,22918,-2.9979,2.2622,-3.8599,1
1869.86,50924,-2.8863,2.5872,-4.5948,1
46.93,56897,0.6788,-0.0727,0.64,0
32.54,46682,-0.0785,0.3885,-0.1644,0
155.68,30607,-2.0734,2.0753,-5.4645,1
48.93,73475,0.3926,0.7916,0.5735,0
55.76,42442,-0.3147,-0.0745,0.1068,0
53.44,61538,-2.9127,2.055,-4.3698,1
27.48,52973,0.2885,0.3217,0.3118,0
45.56,27604,0.2769,0.5615,0.3466,0
53.46,50140,-3.7076,2.2868,-3.6064,1
223.23,83194,-1.8041,2.1491,-4.4927,1
76.85,65178,0.526,-0.5388,0.4946,0
82.63,52825,-0.1554,-0.9368,-0.2464,0
23.73,33780,-0.3191,0.5458,0.357,0
67.31,63562,0.065,-0.0076,-0.3419,0
38.01,29455,-0.0454,0.3369,-0.1135,0
47.15,1408,0.1037,0.5288,0.2534,0
215.32,56566,-2.7624,2.8068,-2.8863,1
104.33,42015,-3.152,2.3397,-3.5988,1
296.08,48605,-3.557,2.3666,-3.6459,1
30.76,40374,0.8529,-0.6978,0.0588,0
64.76,18416,0.3601,-0.0076,0.5328,0
112.89,7305,-0.5748,-0.3991,-0.0378,0
172.22,59896,-2.7877,1.8507,-2.8693,1
148.73,17658,-3.3439,1.783,-3.19,1
156.62,17653,-2.2582,2.2781,-3.2748,1
61.62,24566,0.412,0.9014,0.383,0
295.34,75517,-3.2512,2.4605,-4.4745,1
164.51,54966,-2.5801,2.6357,-3.2014,1
35.88,42133,0.3629,0.0984,0.483,0
71.07,19124,0.7152,0.0878,0.6899,0
147.55,38776,-2.8879,1.9244,-4.2162,1
154.53,28806,-2.2578,2.0949,-4.6807,1
132.22,39430,0.749,-0.9023,-0.02,0
209.00,33505,-0.2704,0.841,-0.4448,0
31.48,29969,-0.3605,-0.6156,-0.264,0
52.39,57920,-0.5073,-1.3554,-0.2284,0
356.23,83015,-3.4465,0.7418,-3.7239,1
